data,dap,tensao_solo_kpa,tensao_ontem_kpa,delta_tensao_kpa,chuva_acum_3d_mm,tmax_max_3d_c,classe_predita,consenso_pct,votos_c0,votos_c1,votos_c2,dose_mm,volume_ml,tempo_solenoide_seg,n_regras_total,n_regras_c0,n_regras_c1,n_regras_c2,observacao
2022-01-04,95,5.0,5.0,0.0,128.94,29.88,0,100.0,14,0,0,0.0,0,0,659,533,59,67,Sem irrigação
2022-01-05,96,8.42,5.0,3.42,26.59,29.88,0,100.0,14,0,0,0.0,0,0,659,533,59,67,Sem irrigação
2022-01-06,97,11.14,8.42,2.72,11.15,30.05,0,100.0,14,0,0,0.0,0,0,659,533,59,67,Sem irrigação
2022-01-07,98,5.0,11.14,-6.14,12.53,30.29,0,100.0,14,0,0,0.0,0,0,663,537,59,67,Sem irrigação
2022-01-08,99,6.36,5.0,1.36,12.4,30.29,0,100.0,14,0,0,0.0,0,0,663,537,59,67,Sem irrigação
2022-01-09,100,7.74,6.36,1.38,5.65,30.29,0,100.0,14,0,0,0.0,0,0,663,537,59,67,Sem irrigação
2022-01-10,101,8.87,7.74,1.13,10.76,29.76,0,100.0,14,0,0,0.0,0,0,662,536,59,67,Sem irrigação
2022-01-11,102,5.0,8.87,-3.87,16.74,29.98,0,100.0,14,0,0,0.0,0,0,663,537,59,67,Sem irrigação
2022-01-12,103,5.0,5.0,0.0,28.37,29.98,0,100.0,14,0,0,0.0,0,0,668,542,59,67,Sem irrigação
2022-01-13,104,5.0,5.0,0.0,22.2,29.98,0,100.0,14,0,0,0.0,0,0,666,540,59,67,Sem irrigação
2022-01-14,105,7.33,5.0,2.33,17.73,28.85,0,100.0,14,0,0,0.0,0,0,664,538,59,67,Sem irrigação
2022-01-15,106,9.73,7.33,2.4,15.1,28.85,0,100.0,14,0,0,0.0,0,0,661,535,59,67,Sem irrigação
2022-01-16,107,5.0,9.73,-4.73,45.64,28.64,0,100.0,14,0,0,0.0,0,0,668,542,59,67,Sem irrigação
